ID,date,city,variable,amount,cid
1,2006, 臺灣地區,家庭收支.平均戶內人口數,3.41,A
2,2006, 新北市,家庭收支.平均戶內人口數,3.28,B
3,2006, 臺北市,家庭收支.平均戶內人口數,3.34,C
4,2006, 桃園市,家庭收支.平均戶內人口數,3.7,D
5,2006, 臺中市,家庭收支.平均戶內人口數,3.58,E
6,2006, 臺南市,家庭收支.平均戶內人口數,3.4,F
7,2006, 高雄市,家庭收支.平均戶內人口數,3.27,G
8,2006, 宜蘭縣,家庭收支.平均戶內人口數,3.37,H
9,2006, 新竹縣,家庭收支.平均戶內人口數,3.92,I
10,2006, 苗栗縣,家庭收支.平均戶內人口數,3.49,J
11,2006, 彰化縣,家庭收支.平均戶內人口數,3.8,K
12,2006, 南投縣,家庭收支.平均戶內人口數,3.53,L
13,2006, 雲林縣,家庭收支.平均戶內人口數,3.33,M
14,2006, 嘉義縣,家庭收支.平均戶內人口數,3.32,N
15,2006, 屏東縣,家庭收支.平均戶內人口數,3.36,O
16,2006, 臺東縣,家庭收支.平均戶內人口數,2.91,P
17,2006, 花蓮縣,家庭收支.平均戶內人口數,2.83,Q
18,2006, 澎湖縣,家庭收支.平均戶內人口數,2.95,R
19,2006, 基隆市,家庭收支.平均戶內人口數,3.22,S
20,2006, 新竹市,家庭收支.平均戶內人口數,3.51,T
21,2006, 嘉義市,家庭收支.平均戶內人口數,3.26,U
22,2006, 金門縣,家庭收支.平均戶內人口數,3.55,V
23,2006, 連江縣,家庭收支.平均戶內人口數,3.4,W
24,2007, 臺灣地區,家庭收支.平均戶內人口數,3.38,A
25,2007, 新北市,家庭收支.平均戶內人口數,3.48,B
26,2007, 臺北市,家庭收支.平均戶內人口數,3.31,C
27,2007, 桃園市,家庭收支.平均戶內人口數,3.55,D
28,2007, 臺中市,家庭收支.平均戶內人口數,3.56,E
29,2007, 臺南市,家庭收支.平均戶內人口數,3.33,F
30,2007, 高雄市,家庭收支.平均戶內人口數,3.22,G
31,2007, 宜蘭縣,家庭收支.平均戶內人口數,3.31,H
32,2007, 新竹縣,家庭收支.平均戶內人口數,3.75,I
33,2007, 苗栗縣,家庭收支.平均戶內人口數,3.52,J
34,2007, 彰化縣,家庭收支.平均戶內人口數,3.64,K
35,2007, 南投縣,家庭收支.平均戶內人口數,3.57,L
36,2007, 雲林縣,家庭收支.平均戶內人口數,3.02,M
37,2007, 嘉義縣,家庭收支.平均戶內人口數,3.12,N
38,2007, 屏東縣,家庭收支.平均戶內人口數,3.18,O
39,2007, 臺東縣,家庭收支.平均戶內人口數,2.88,P
40,2007, 花蓮縣,家庭收支.平均戶內人口數,2.93,Q
41,2007, 澎湖縣,家庭收支.平均戶內人口數,2.99,R
42,2007, 基隆市,家庭收支.平均戶內人口數,3.23,S
43,2007, 新竹市,家庭收支.平均戶內人口數,3.48,T
44,2007, 嘉義市,家庭收支.平均戶內人口數,3.04,U
45,2007, 金門縣,家庭收支.平均戶內人口數,3.66,V
46,2007, 連江縣,家庭收支.平均戶內人口數,3.46,W
47,2008, 臺灣地區,家庭收支.平均戶內人口數,3.35,A
48,2008, 新北市,家庭收支.平均戶內人口數,3.41,B
49,2008, 臺北市,家庭收支.平均戶內人口數,3.29,C
50,2008, 桃園市,家庭收支.平均戶內人口數,3.53,D
51,2008, 臺中市,家庭收支.平均戶內人口數,3.52,E
52,2008, 臺南市,家庭收支.平均戶內人口數,3.32,F
53,2008, 高雄市,家庭收支.平均戶內人口數,3.29,G
54,2008, 宜蘭縣,家庭收支.平均戶內人口數,3.28,H
55,2008, 新竹縣,家庭收支.平均戶內人口數,3.74,I
56,2008, 苗栗縣,家庭收支.平均戶內人口數,3.44,J
57,2008, 彰化縣,家庭收支.平均戶內人口數,3.68,K
58,2008, 南投縣,家庭收支.平均戶內人口數,3.33,L
59,2008, 雲林縣,家庭收支.平均戶內人口數,2.96,M
60,2008, 嘉義縣,家庭收支.平均戶內人口數,2.87,N
